ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-big5-2023;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/big5-2023;Date un gusto todos los días;Hasta 40% dcto. pagando con tus Tarjetas del Chile. La Fête - Juan Maestro - KFC - Dominó - Starbucks.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-30-dcto-restaurant;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/30-dcto-restaurant;Jueves de terraza;30% dcto. en restaurantes pagando con tus Tarjetas del Chile. ;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-verano-2023;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/verano-2023;¡Este Verano disfruta de los mejores beneficios!;Pagando con tus Tarjetas del Chile hasta el 28 de febrero.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-la-barra-20-dcto;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/la-barra-20-dcto;20% dcto. adicional a otros descuentos en labarra.cl o App La Barra;Desde el 06 al 08 de febrero con tus Tarjetas del Chile.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-disfruta-lo-que-quieras-en-3-cuotas-sin-interes-con-tu-tarjeta-de-credito-del-chile;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/disfruta-lo-que-quieras-en-3-cuotas-sin-interes-con-tu-tarjeta-de-credito-del-chile;¡Para todo lo que necesites!;Usa tu Tarjeta de Crédito del Chile y compra en 3 cuotas sin interés.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-poliglota;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/poliglota;Aprende inglés como si estuvieras en Nueva York;Hasta 75% dcto. en los planes de Poliglota.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-se-el-primero-en-tener-el-samsung-galaxy-s23-en-travel-tienda;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/se-el-primero-en-tener-el-samsung-galaxy-s23-en-travel-tienda;Sé el primero en tener el Samsung Galaxy S23 en Travel Tienda;Y obtén beneficios al pagar con tu Tarjeta del Chile hasta el 2 de marzo.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-caluga-40-rest-2022;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/caluga-40-rest-2022;40% dcto. con tus Tarjetas Visa en restaurantes;El ingrediente para disfrutar el verano.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-aumenta-online-el-cupo-de-tu-tarjeta-y-o-linea-de-credito;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/aumenta-online-el-cupo-de-tu-tarjeta-y-o-linea-de-credito;Aumenta tu cupo online, fácil y rápido;Vive la simplicidad de tu Banco en Línea.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-deuda-internacional;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/deuda-internacional;Paga tu deuda nacional e internacional en cuotas y despreocúpate;Solicítalo llamando al 600 637 3737.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-los-mejores-frutos-secos-todos-los-miercoles;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/los-mejores-frutos-secos-todos-los-miercoles;30% dcto. en Piwen;Todos los miércoles con tus Tarjetas del Chile.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-cuotas-internacional;;https://portales.bancochile.cl/personas/beneficios/promociones/detalles/cuotas-internacional;¡Relájate, sigue disfrutando! ;Aprovecha y paga hasta un día antes de la fecha de vencimiento tu deuda internacional.;
BANCO DE CHILE;MARCAS;ppp_beneficio-link-back-to-school;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/back-to-school;Vuelve a clases con el Chile;Los mejores descuentos y beneficios son con tus Tarjetas del Chile.;
